Company Code,Internal ID,SubTran ID,Document No.,Year,Line Item,Period,Posting Period,Document Date,Local Currency Code,Local Amount (Debit),Local Amount (Credit),Document Currency Code,Document Amount (Debit),Document Amount (Credit),GL Account Number,GL Account Name,Entity Name,Tax Registration Number,Department,Class,Location,Journal Description,Transaction Type,Creator
United Kingdom,705,7,,2015,1,8,Aug 2015,8/1/2015,GBP,0,100541,GBP,0,100541,2000,2000 Accounts Payable,UKRA,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,2,8,Aug 2015,8/1/2015,GBP,5912,0,GBP,5912,0,6370,6370 General and Administrative : Advertising,,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,3,8,Aug 2015,8/1/2015,GBP,2495,0,GBP,2495,0,6360,6360 General and Administrative : Automobile Expense,,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,4,8,Aug 2015,8/1/2015,GBP,11289,0,GBP,11289,0,6820,6820 General and Administrative : Other Expense : Office Expense,,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,5,8,Aug 2015,8/1/2015,GBP,58950,0,GBP,58950,0,6390,6390 General and Administrative : Rent Expense,,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,6,8,Aug 2015,8/1/2015,GBP,21895,0,GBP,21895,0,6400,6400 General and Administrative : Telephone Expense,,,,,,Bill ID # 705,VendBill,Larry Nelson
United Kingdom,705,7,,2015,7,8,Aug 2015,8/1/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,VendBill,Larry Nelson
United Kingdom,705,7,,2015,8,8,Aug 2015,8/1/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,VendBill,Larry Nelson
United Kingdom,712,8,1,2015,1,8,Aug 2015,8/6/2015,GBP,0,50541,GBP,0,50541,1001,1001 UK Operating Account,UKRA,,,,,1,VendPymt,Larry Nelson
United Kingdom,712,8,1,2015,2,8,Aug 2015,8/6/2015,GBP,50541,0,GBP,50541,0,2000,2000 Accounts Payable,UKRA,,,,,1,VendPymt,Larry Nelson
United Kingdom,732,9,,2015,1,8,Aug 2015,8/7/2015,GBP,0,7990.08,GBP,0,7990.08,2000,2000 Accounts Payable,Corson Enterprises,,,,,Bill ID # 732,VendBill,Larry Nelson
United Kingdom,732,9,,2015,2,8,Aug 2015,8/7/2015,GBP,6273.84,0,GBP,6273.84,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,"4"" in Diameter - Mosu Bamboo. Strong and durable. Available in 10' length poles.",VendBill,Larry Nelson
United Kingdom,732,9,,2015,3,8,Aug 2015,8/7/2015,GBP,1716.24,0,GBP,1716.24,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,"Our Fried Rice is prepared with steamed rice that is tossed in the wok with scrambled eggs, green peas, carrots, and chopped green onions. It is a delicious addition to any Chinese meal.",VendBill,Larry Nelson
United Kingdom,732,9,,2015,4,8,Aug 2015,8/7/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,VendBill,Larry Nelson
United Kingdom,732,9,,2015,5,8,Aug 2015,8/7/2015,GBP,0,0,GBP,0,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,VendBill,Larry Nelson
United Kingdom,738,10,39,2015,1,8,Aug 2015,8/7/2015,GBP,209850,0,GBP,209850,0,5000,5000 Cost of Goods Sold,,,,,,39,Journal,Larry Nelson
United Kingdom,738,10,39,2015,2,8,Aug 2015,8/7/2015,GBP,0,209850,GBP,0,209850,2005,2005 Accrued Expenses,,,,,,39,Journal,Larry Nelson
United Kingdom,756,11,44,2015,1,8,Aug 2015,8/1/2015,GBP,38754,0,GBP,38754,0,6100,6100 General and Administrative : Salaries & Wages,,,,,,44,Journal,Larry Nelson
United Kingdom,756,11,44,2015,2,8,Aug 2015,8/1/2015,GBP,9874,0,GBP,9874,0,6110,6110 General and Administrative : Salaries & Wages : Salary,,,,,,44,Journal,Larry Nelson
United Kingdom,756,11,44,2015,3,8,Aug 2015,8/1/2015,GBP,8952,0,GBP,8952,0,6120,6120 General and Administrative : Salaries & Wages : Commissions,,,,,,44,Journal,Larry Nelson
United Kingdom,756,11,44,2015,4,8,Aug 2015,8/1/2015,GBP,3521,0,GBP,3521,0,6200,6200 General and Administrative : Payroll Expenses,,,,,,44,Journal,Larry Nelson
United Kingdom,756,11,44,2015,5,8,Aug 2015,8/1/2015,GBP,0,61101,GBP,0,61101,1001,1001 UK Operating Account,,,,,,44,Journal,Larry Nelson
United Kingdom,764,12,45,2015,3,8,Aug 2015,8/13/2015,GBP,2500,0,EUR,2500,0,2095,2095 Interco. Payables/Receivables,,,,,,Loan to Germany Sub,Journal,Larry Nelson
United Kingdom,764,12,45,2015,4,8,Aug 2015,8/13/2015,GBP,0,2500,EUR,0,2500,1001,1001 UK Operating Account,,,,,,Loan to Germany Sub,Journal,Larry Nelson
United Kingdom,830,13,53,2015,1,8,Aug 2015,8/1/2015,GBP,0,21789,GBP,0,21789,4003,4003 Revenue : Software License/Subscription,,,,,,53,Journal,Larry Nelson
United Kingdom,830,13,53,2015,2,8,Aug 2015,8/1/2015,GBP,0,14879,GBP,0,14879,4005,4005 Revenue : Professional Services,,,,,,53,Journal,Larry Nelson
United Kingdom,830,13,53,2015,3,8,Aug 2015,8/1/2015,GBP,36668,0,GBP,36668,0,5000,5000 Cost of Goods Sold,,,,,,53,Journal,Larry Nelson
United Kingdom,832,14,,2015,1,7,Jul 2015,7/10/2015,GBP,0,50000,GBP,0,50000,2000,2000 Accounts Payable,Debian Inc,,,,,Bill ID # 832,VendBill,Larry Nelson
United Kingdom,832,14,,2015,2,7,Jul 2015,7/10/2015,GBP,42553.19,0,GBP,42553.19,0,1412,1412 Inventory Asset,,,,,,A dragon and dragon claw graces the front of the robe and a stunning embroidered dragon is featured completely down the back.,VendBill,Larry Nelson
United Kingdom,832,14,,2015,4,7,Jul 2015,7/10/2015,GBP,7446.81,0,GBP,7446.81,0,1963,1963 VAT on Purchases,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,VendBill,Larry Nelson
United Kingdom,832,14,,2015,5,7,Jul 2015,7/10/2015,GBP,42553.19,0,GBP,42553.19,0,5000,5000 Cost of Goods Sold,,,,,,Cost of Sales Adjustment,VendBill,Larry Nelson
United Kingdom,832,14,,2015,6,7,Jul 2015,7/10/2015,GBP,0,42553.19,GBP,0,42553.19,1412,1412 Inventory Asset,,,,,,Cost of Sales Adjustment,VendBill,Larry Nelson
United Kingdom,1050,15,,2015,1,8,Aug 2015,8/31/2015,GBP,0,156210.6,GBP,0,156210.6,3200,3200 Opening Balance,,,,,,Regashi Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1050,15,,2015,2,8,Aug 2015,8/31/2015,GBP,156210.6,0,GBP,156210.6,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Regashi Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1060,16,,2015,1,8,Aug 2015,8/31/2015,GBP,0,26035.1,GBP,0,26035.1,3200,3200 Opening Balance,,,,,,Platform Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1060,16,,2015,2,8,Aug 2015,8/31/2015,GBP,26035.1,0,GBP,26035.1,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Platform Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1070,17,,2015,1,8,Aug 2015,8/31/2015,GBP,0,37155.81,GBP,0,37155.81,3200,3200 Opening Balance,,,,,,Handcrafted Queen Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1070,17,,2015,2,8,Aug 2015,8/31/2015,GBP,37155.81,0,GBP,37155.81,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Handcrafted Queen Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1080,18,,2015,1,8,Aug 2015,8/31/2015,GBP,0,24008.08,GBP,0,24008.08,3200,3200 Opening Balance,,,,,,Yao Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1080,18,,2015,2,8,Aug 2015,8/31/2015,GBP,24008.08,0,GBP,24008.08,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Yao Bed Opening balance,InvAdjst,Larry Nelson
United Kingdom,1090,19,,2015,1,8,Aug 2015,8/31/2015,GBP,0,13947.38,GBP,0,13947.38,3200,3200 Opening Balance,,,,,,Milton Cocktail Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1090,19,,2015,2,8,Aug 2015,8/31/2015,GBP,13947.38,0,GBP,13947.38,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Milton Cocktail Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1100,20,,2015,1,8,Aug 2015,8/31/2015,GBP,0,22315.8,GBP,0,22315.8,3200,3200 Opening Balance,,,,,,Low Cocktail Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1100,20,,2015,2,8,Aug 2015,8/31/2015,GBP,22315.8,0,GBP,22315.8,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Low Cocktail Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1110,21,,2015,1,8,Aug 2015,8/31/2015,GBP,0,26778.96,GBP,0,26778.96,3200,3200 Opening Balance,,,,,,Bon Ton Dining Set Opening balance,InvAdjst,Larry Nelson
United Kingdom,1110,21,,2015,2,8,Aug 2015,8/31/2015,GBP,26778.96,0,GBP,26778.96,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Bon Ton Dining Set Opening balance,InvAdjst,Larry Nelson
United Kingdom,1120,22,,2015,1,8,Aug 2015,8/31/2015,GBP,0,21571.94,GBP,0,21571.94,3200,3200 Opening Balance,,,,,,Modern Wood Dining Set Opening balance,InvAdjst,Larry Nelson
United Kingdom,1120,22,,2015,2,8,Aug 2015,8/31/2015,GBP,21571.94,0,GBP,21571.94,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Modern Wood Dining Set Opening balance,InvAdjst,Larry Nelson
United Kingdom,1130,23,,2015,1,8,Aug 2015,8/31/2015,GBP,0,44631.6,GBP,0,44631.6,3200,3200 Opening Balance,,,,,,Barrow Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1130,23,,2015,2,8,Aug 2015,8/31/2015,GBP,44631.6,0,GBP,44631.6,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Barrow Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1140,24,,2015,1,8,Aug 2015,8/31/2015,GBP,0,51251.95,GBP,0,51251.95,3200,3200 Opening Balance,,,,,,Loft Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1140,24,,2015,2,8,Aug 2015,8/31/2015,GBP,51251.95,0,GBP,51251.95,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Loft Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1150,25,,2015,1,8,Aug 2015,8/31/2015,GBP,0,45747.39,GBP,0,45747.39,3200,3200 Opening Balance,,,,,,Urban Dining Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1150,25,,2015,2,8,Aug 2015,8/31/2015,GBP,45747.39,0,GBP,45747.39,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Urban Dining Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1161,26,,2015,1,9,Sep 2015,9/1/2015,GBP,0,25904.49,GBP,0,25904.49,3200,3200 Opening Balance,,,,,,Parsons Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1161,26,,2015,2,9,Sep 2015,9/1/2015,GBP,25904.49,0,GBP,25904.49,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Parsons Table Opening balance,InvAdjst,Larry Nelson
United Kingdom,1171,27,,2015,1,9,Sep 2015,9/1/2015,GBP,0,68235.24,GBP,0,68235.24,3200,3200 Opening Balance,,,,,,Metropolitan Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1171,27,,2015,2,9,Sep 2015,9/1/2015,GBP,68235.24,0,GBP,68235.24,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Metropolitan Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1181,28,,2015,1,9,Sep 2015,9/1/2015,GBP,0,54178.54,GBP,0,54178.54,3200,3200 Opening Balance,,,,,,Leonardo Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1181,28,,2015,2,9,Sep 2015,9/1/2015,GBP,54178.54,0,GBP,54178.54,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Leonardo Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1191,29,,2015,1,9,Sep 2015,9/1/2015,GBP,0,39680.06,GBP,0,39680.06,3200,3200 Opening Balance,,,,,,Joria Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1191,29,,2015,2,9,Sep 2015,9/1/2015,GBP,39680.06,0,GBP,39680.06,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Joria Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1201,30,,2015,1,9,Sep 2015,9/1/2015,GBP,0,65986.17,GBP,0,65986.17,3200,3200 Opening Balance,,,,,,Convertible Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1201,30,,2015,2,9,Sep 2015,9/1/2015,GBP,65986.17,0,GBP,65986.17,0,1412,1412 Inventory Asset,,,,,05 UK Warehouse,Convertible Sofa Opening balance,InvAdjst,Larry Nelson
United Kingdom,1543,31,0235,2015,1,8,Aug 2015,8/5/2015,GBP,235,0,GBP,235,0,1200,1200 Accounts Receivable,James Crocket and Sons,,,,,0235,CustInvc,Larry Nelson
United Kingdom,1543,31,0235,2015,2,8,Aug 2015,8/5/2015,GBP,0,200,GBP,0,200,4003,4003 Revenue : Software License/Subscription,James Crocket and Sons,,,,,Subscriptions,CustInvc,Larry Nelson
United Kingdom,1543,31,0235,2015,6,8,Aug 2015,8/5/2015,GBP,0,35,GBP,0,35,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1567,32,0247,2014,1,9,Sep 2014,9/1/2014,GBP,458.16,0,GBP,458.16,0,1200,1200 Accounts Receivable,James Crocket and Sons,,,,,0247,CustInvc,Larry Nelson
United Kingdom,1567,32,0247,2014,2,9,Sep 2014,9/1/2014,GBP,0,458.16,GBP,0,458.16,2102,2102 Deferred Revenue Software : License,James Crocket and Sons,,,,,0247,CustInvc,Larry Nelson
United Kingdom,1567,32,0247,2014,4,9,Sep 2014,9/1/2014,GBP,0,0,GBP,0,0,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1573,33,0250,2015,1,8,Aug 2015,8/13/2015,GBP,12899.39,0,GBP,12899.39,0,1200,1200 Accounts Receivable,James Crocket and Sons,,,,,0250,CustInvc,Larry Nelson
United Kingdom,1573,33,0250,2015,2,8,Aug 2015,8/13/2015,GBP,0,10978.2,GBP,0,10978.2,2102,2102 Deferred Revenue Software : License,James Crocket and Sons,,,,,0250,CustInvc,Larry Nelson
United Kingdom,1573,33,0250,2015,5,8,Aug 2015,8/13/2015,GBP,0,1921.19,GBP,0,1921.19,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1577,34,0252,2015,1,8,Aug 2015,8/13/2015,GBP,105899.39,0,GBP,105899.39,0,1200,1200 Accounts Receivable,Gabriel Solutions,GB,,,,0252,CustInvc,Larry Nelson
United Kingdom,1577,34,0252,2015,2,8,Aug 2015,8/13/2015,GBP,0,90127.14,GBP,0,90127.14,2102,2102 Deferred Revenue Software : License,Gabriel Solutions,GB,,,,0252,CustInvc,Larry Nelson
United Kingdom,1577,34,0252,2015,4,8,Aug 2015,8/13/2015,GBP,0,15772.25,GBP,0,15772.25,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1581,35,0254,2015,1,7,Jul 2015,7/1/2015,GBP,102899.39,0,GBP,102899.39,0,1200,1200 Accounts Receivable,Moorcraft,,,,,0254,CustInvc,Larry Nelson
United Kingdom,1581,35,0254,2015,2,7,Jul 2015,7/1/2015,GBP,0,87573.95,GBP,0,87573.95,2102,2102 Deferred Revenue Software : License,Moorcraft,,,,,0254,CustInvc,Larry Nelson
United Kingdom,1581,35,0254,2015,6,7,Jul 2015,7/1/2015,GBP,0,15325.44,GBP,0,15325.44,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1585,36,0256,2015,1,8,Aug 2015,8/13/2015,GBP,2153.34,0,GBP,2153.34,0,1200,1200 Accounts Receivable,Baxter & Co.,GB,,,,0256,CustInvc,Larry Nelson
United Kingdom,1585,36,0256,2015,2,8,Aug 2015,8/13/2015,GBP,0,1832.63,GBP,0,1832.63,2102,2102 Deferred Revenue Software : License,Baxter & Co.,GB,,,,0256,CustInvc,Larry Nelson
United Kingdom,1585,36,0256,2015,4,8,Aug 2015,8/13/2015,GBP,0,320.71,GBP,0,320.71,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1595,37,0261,2015,1,7,Jul 2015,7/15/2015,GBP,101408,0,GBP,101408,0,1200,1200 Accounts Receivable,J R Compton,,,,,0261,CustInvc,Larry Nelson
United Kingdom,1595,37,0261,2015,2,7,Jul 2015,7/15/2015,GBP,0,86304.68,GBP,0,86304.68,2102,2102 Deferred Revenue Software : License,J R Compton,,,,,0261,CustInvc,Larry Nelson
United Kingdom,1595,37,0261,2015,5,7,Jul 2015,7/15/2015,GBP,0,15103.32,GBP,0,15103.32,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1597,38,0262,2015,1,8,Aug 2015,8/13/2015,GBP,28075.02,0,GBP,28075.02,0,1200,1200 Accounts Receivable,Perry Services,GB,,,,0262,CustInvc,Larry Nelson
United Kingdom,1597,38,0262,2015,2,8,Aug 2015,8/13/2015,GBP,0,23893.63,GBP,0,23893.63,2102,2102 Deferred Revenue Software : License,Perry Services,GB,,,,0262,CustInvc,Larry Nelson
United Kingdom,1597,38,0262,2015,4,8,Aug 2015,8/13/2015,GBP,0,4181.39,GBP,0,4181.39,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,,VAT,CustInvc,Larry Nelson
United Kingdom,1691,39,0281,2015,1,8,Aug 2015,8/6/2015,GBP,12190.63,0,GBP,12190.63,0,1200,1200 Accounts Receivable,Antler Office,,,,05 UK Warehouse,0281,CustInvc,Larry Nelson
United Kingdom,1691,39,0281,2015,17,8,Aug 2015,8/6/2015,GBP,0,4375,GBP,0,4375,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0281,CustInvc,Larry Nelson
United Kingdom,1691,39,0281,2015,18,8,Aug 2015,8/6/2015,GBP,0,3000,GBP,0,3000,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0281,CustInvc,Larry Nelson
United Kingdom,1691,39,0281,2015,19,8,Aug 2015,8/6/2015,GBP,0,3000,GBP,0,3000,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0281,CustInvc,Larry Nelson
United Kingdom,1691,39,0281,2015,21,8,Aug 2015,8/6/2015,GBP,0,1815.63,GBP,0,1815.63,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,1,8,Aug 2015,8/13/2015,GBP,10295.59,0,GBP,10295.59,0,1200,1200 Accounts Receivable,Antler Office,,,,05 UK Warehouse,0282,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,19,8,Aug 2015,8/13/2015,GBP,0,1000,GBP,0,1000,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0282,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,20,8,Aug 2015,8/13/2015,GBP,0,1000,GBP,0,1000,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0282,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,21,8,Aug 2015,8/13/2015,GBP,0,5500,GBP,0,5500,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0282,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,22,8,Aug 2015,8/13/2015,GBP,0,1262.2,GBP,0,1262.2,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0282,CustInvc,Larry Nelson
United Kingdom,1692,40,0282,2015,24,8,Aug 2015,8/13/2015,GBP,0,1533.39,GBP,0,1533.39,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,CustInvc,Larry Nelson
United Kingdom,1693,41,0283,2015,1,8,Aug 2015,8/20/2015,GBP,7113.64,0,GBP,7113.64,0,1200,1200 Accounts Receivable,Antler Office,,,,05 UK Warehouse,0283,CustInvc,Larry Nelson
United Kingdom,1693,41,0283,2015,17,8,Aug 2015,8/20/2015,GBP,0,2520,GBP,0,2520,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0283,CustInvc,Larry Nelson
United Kingdom,1693,41,0283,2015,18,8,Aug 2015,8/20/2015,GBP,0,1009.76,GBP,0,1009.76,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0283,CustInvc,Larry Nelson
United Kingdom,1693,41,0283,2015,19,8,Aug 2015,8/20/2015,GBP,0,2524.4,GBP,0,2524.4,4005,4005 Revenue : Professional Services,PRJ1035 Antler Office : Antler - GL Data Import,,,,05 UK Warehouse,0283,CustInvc,Larry Nelson
United Kingdom,1693,41,0283,2015,21,8,Aug 2015,8/20/2015,GBP,0,1059.48,GBP,0,1059.48,5055,5055 VAT on Sales,HM Revenue & Customs : HM Customs & Excise 4,,,,05 UK Warehouse,VAT,CustInvc,Larry Nelson
United Kingdom,1707,42,69,2015,3,8,Aug 2015,8/31/2015,GBP,390.25,0,USD,725.73,0,6370,6370 General and Administrative : Advertising,Baxter & Co.,GB,Prof. Services,,,69,Journal,Larry Nelson
United Kingdom,1707,42,69,2015,4,8,Aug 2015,8/31/2015,GBP,0,390.25,USD,0,725.73,1807,1807 Intercompany Clearing Account : Intercompany Payable/Receivable USD,,,Prof. Services,,,69,Journal,Larry Nelson
United Kingdom,1707,42,69,2015,7,8,Aug 2015,8/31/2015,GBP,1521.48,0,USD,2829.42,0,6300,6300 General and Administrative : Travel Expenses,Baxter & Co.,GB,Prof. Services,,,69,Journal,Larry Nelson
United Kingdom,1707,42,69,2015,8,8,Aug 2015,8/31/2015,GBP,0,1521.48,USD,0,2829.42,1807,1807 Intercompany Clearing Account : Intercompany Payable/Receivable USD,,,Prof. Services,,,69,Journal,Larry Nelson
