Mapping Category,Mapping Value,Grouping Code,Grouping Code Description,Mapping Key
NO-SAFT: Income Statement RF-1175,32,1869,Obligasjoner og sertifikater,
NO-SAFT: Income Statement RF-1175,33,1880,Andre finansielle instrumenter,
NO-SAFT: Income Statement RF-1175,34,1895,Andel i selskap med deltakerfastsetting,
NO-SAFT: Income Statement RF-1175,35,1900,Kontanter,
NO-SAFT: Income Statement RF-1175,36,1920,Bankinnskudd,
NO-SAFT: Income Statement RF-1175,37,1950,Bankinnskudd for skattetrekk,
NO-SAFT: Income Statement RF-1175,38,2015,Felleseid andelskapital i samvirkeforetak,
NO-SAFT: Income Statement RF-1175,40,2045,Avsatt utbytte,
NO-SAFT: Income Statement RF-1175,39,2050,Annen egenkapital,
NO-SAFT: Income Statement RF-1175,41,2080,Udekket tap,
NO-SAFT: Income Statement RF-1175,42,2095,Negativ saldo,
NO-SAFT: Income Statement RF-1175,43,2096,Positiv gevinst- og tapskonto,
NO-SAFT: Income Statement RF-1175,44,2097,Betinget avsatt gevinst (sktl. §§ 14-70 til 14-73),
NO-SAFT: Income Statement RF-1175,45,2098,Positiv tømmerkonto,
NO-SAFT: Income Statement RF-1175,46,2220,Langsiktig foretaksgjeld til kredittinstitusjoner,
NO-SAFT: Income Statement RF-1175,47,2275,Langsiktig lån i utenlandsk valuta,
NO-SAFT: Income Statement RF-1175,48,2289,Stille interessentinnskudd og ansvarlig lånekapital,
NO-SAFT: Income Statement RF-1175,49,2380,Kortsiktig foretaksgjeld til kredittinstitusjoner,
NO-SAFT: Income Statement RF-1175,50,2400,Leverandørgjeld,
NO-SAFT: Income Statement RF-1175,51,2600,Skattetrekk og andre trekk,
NO-SAFT: Income Statement RF-1175,52,2740,Oppgjørskonto merverdiavgift,
NO-SAFT: Income Statement RF-1175,53,2770,Skyldig arbeidsgiveravgift,
NO-SAFT: Income Statement RF-1175,54,2790,Andre offentlige avgifter,
NO-SAFT: Income Statement RF-1175,55,2800,Avsatt utbytte,
NO-SAFT: Income Statement RF-1175,56,2900,Forskudd fra kunder,
NO-SAFT: Income Statement RF-1175,57,2910,Gjeld til ansatte og eiere,
NO-SAFT: Income Statement RF-1175,58,2949,"Lønn, feriepenger o.l.",
NO-SAFT: Income Statement RF-1175,59,2950,Påløpt rente,
NO-SAFT: Income Statement RF-1175,60,2995,Annen gjeld,
NO-SAFT: Income Statement RF-1175,61,3000,"Salgsinntekt og uttak, avgiftspliktig",
NO-SAFT: Income Statement RF-1175,62,3100,"Salgsinntekt og uttak,avg.fritt innenfor merverdiavgiftsloven",
NO-SAFT: Income Statement RF-1175,63,3200,"Salgsinntekt og uttak,utenfor merverdiavgiftsloven",
NO-SAFT: Income Statement RF-1175,64,3300,Offentlige avgifter vedrørende salg,
NO-SAFT: Income Statement RF-1175,65,3400,Offentlige tilskudd/refusjon,
NO-SAFT: Income Statement RF-1175,66,3600,Leieinntekt fast eiendom,
NO-SAFT: Income Statement RF-1175,67,3605,"Leieinntekt fast eiendom, avgiftspliktig",
NO-SAFT: Income Statement RF-1175,68,3650,"Leieinntekt av rettigheter - jakt, fiske mv.",
NO-SAFT: Income Statement RF-1175,69,3695,Andre utleieinntekter,
NO-SAFT: Income Statement RF-1175,70,3700,Provisjonsinntekt,
NO-SAFT: Income Statement RF-1175,71,3890,Inntektsføring fra positiv gevinst-/tapskonto (RF-1219),
NO-SAFT: Income Statement RF-1175,72,3895,Inntektsføring fra saldo,
NO-SAFT: Income Statement RF-1175,73,3900,Andre driftsinntekter,
NO-SAFT: Income Statement RF-1175,74,3910,Årets inntekts-/kostnadsføring fra tømmerkonto,
NO-SAFT: Income Statement RF-1175,75,4005,Varekostnad,
NO-SAFT: Income Statement RF-1175,76,4295,Beholdn.endring av varer under tilvirkning og ferdig tilv. varer,
NO-SAFT: Income Statement RF-1175,77,4500,Fremmedytelse og underentreprise,
NO-SAFT: Income Statement RF-1175,78,4995,Beholdn.endring av egen- tilvirkede anleggsmidler,
NO-SAFT: Income Statement RF-1175,79,5000,"Lønn, feriepenger mv.",
NO-SAFT: Income Statement RF-1175,80,5300,Annen opplysningspliktig godtgjørelse,
NO-SAFT: Income Statement RF-1175,81,5400,Arbeidsgiveravgift,
NO-SAFT: Income Statement RF-1175,82,5420,Opplysningspliktig pensjonskostnad,
NO-SAFT: Income Statement RF-1175,83,5600,Arbeidsgodtgjørelse til eiere i ANS/DA  mv.,
NO-SAFT: Income Statement RF-1175,84,5900,Annen personalkostnad,
NO-SAFT: Income Statement RF-1175,85,5950,Egen pensjonsordning,
NO-SAFT: Income Statement RF-1175,86,6000,Avskrivninger,
NO-SAFT: Income Statement RF-1175,87,6100,Frakt og transportkostnad vedrørende salg,
NO-SAFT: Income Statement RF-1175,88,6200,"Energi, brensel mv. vedrørende produksjon",
NO-SAFT: Income Statement RF-1175,89,6300,Leie av lokaler,
NO-SAFT: Income Statement RF-1175,90,6310,Leasingleie av bil,
NO-SAFT: Income Statement RF-1175,91,6340,"Lys, varme",
NO-SAFT: Income Statement RF-1175,92,6395,"Renovasjon, vann, avløp, renhold mv.",
NO-SAFT: Income Statement RF-1175,93,6400,Andre leiekostnader,
NO-SAFT: Income Statement RF-1175,94,6500,"Verktøy, inventar mv. som ikke skal aktiveres",
NO-SAFT: Income Statement RF-1175,95,6600,Reparasjon og vedlikehold av bygninger,
NO-SAFT: Income Statement RF-1175,96,6695,Reparasjon og vedlikehold - annet,
NO-SAFT: Income Statement RF-1175,97,6700,Fremmed tjeneste (regnskap/ revisjon/rådgivning o.l.),
NO-SAFT: Income Statement RF-1175,98,6995,Kontorkostnader - bl.a. til el. kommunikasjon som inkluderer kostnader til privat bruk,
NO-SAFT: Income Statement RF-1175,99,8060,Valutagevinst (agio),
NO-SAFT: Income Statement RF-1175,100,8099,Annen kapitalinntekt som ikke er spesifisert i RF-1084 og/ eller RF-1219,
NO-SAFT: Income Statement RF-1175,101,8160,Valutatap (disagio),
NO-SAFT: Income Statement RF-1175,102,8199,Andre kapitalkostnader som ikke er spesifisert i RF-1219,
