Mapping Category,Mapping Value,Grouping Code,Grouping Code Description,Mapping Key
NO-SAFT: Income Statement RF-1167,83,2910,Gjeld til ansatte og personlige eiere,
NO-SAFT: Income Statement RF-1167,84,2920,Gjeld til selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,85,2949,"Lønn, feriepenger o.l.",
NO-SAFT: Income Statement RF-1167,86,2950,Påløpt rente,
NO-SAFT: Income Statement RF-1167,87,2970,Uopptjent inntekt,
NO-SAFT: Income Statement RF-1167,88,2980,Avsetninger for forpliktelser,
NO-SAFT: Income Statement RF-1167,89,2990,Annen kortsiktig gjeld,
NO-SAFT: Income Statement RF-1167,90,3000,"Salgsinntekt og uttak, avgiftspliktig",
NO-SAFT: Income Statement RF-1167,91,3100,"Salgsinntekt og uttak, avgiftsfri",
NO-SAFT: Income Statement RF-1167,92,3200,Salgsinntekt og uttak utenfor merverdiavgiftsloven,
NO-SAFT: Income Statement RF-1167,93,3300,Spesielle offentlige avgifter ÷ vedrørende salg,
NO-SAFT: Income Statement RF-1167,94,3400,Offentlig tilskudd/refusjon,
NO-SAFT: Income Statement RF-1167,95,3500,Endring uopptjent inntekt,
NO-SAFT: Income Statement RF-1167,96,3600,Leieinntekt fast eiendom,
NO-SAFT: Income Statement RF-1167,97,3695,Annen leieinntekt,
NO-SAFT: Income Statement RF-1167,98,3700,Provisjonsinntekt,
NO-SAFT: Income Statement RF-1167,99,3850,Verdiendringer investeringseiendommer,
NO-SAFT: Income Statement RF-1167,100,3870,Verdiendringer biologiske eiendeler,
NO-SAFT: Income Statement RF-1167,101,3880,Gevinst ved avgang av immatr. eiendeler og varige driftsmidler,
NO-SAFT: Income Statement RF-1167,102,3885,Gevinst ved avgang av finansielle anleggsmidler,
NO-SAFT: Income Statement RF-1167,103,3900,Annen driftsrelatert inntekt,
NO-SAFT: Income Statement RF-1167,104,4005,Varekostnad,
NO-SAFT: Income Statement RF-1167,105,4295,Beholdn.endring av varer under tilvirkning og ferdig tilv. varer,
NO-SAFT: Income Statement RF-1167,106,4500,Fremmedytelse og underentreprise,
NO-SAFT: Income Statement RF-1167,107,4995,Beholdn.endring av egen- ÷ tilvirkede anleggsmidler,
NO-SAFT: Income Statement RF-1167,108,5000,"Lønn, feriepenger mv.",
NO-SAFT: Income Statement RF-1167,109,5300,Annen opplysningspliktig godtgjørelse,
NO-SAFT: Income Statement RF-1167,110,5400,Arbeidsgiveravgift,
NO-SAFT: Income Statement RF-1167,111,5420,Opplysningspliktig pensjonskostnad,
NO-SAFT: Income Statement RF-1167,112,5600,Arbeidsgodtgjørelse til eiere i ANS mv.,
NO-SAFT: Income Statement RF-1167,113,5900,Annen personalkostnad,
NO-SAFT: Income Statement RF-1167,114,6000,Avskrivning på varige dr.m. og immaterielle eiendeler,
NO-SAFT: Income Statement RF-1167,115,6050,Nedskrivning på varige dr.m. og immaterielle eiendeler,
NO-SAFT: Income Statement RF-1167,116,6100,Frakt og transportkostnad vedrørende salg,
NO-SAFT: Income Statement RF-1167,117,6200,"Energi, brensel mv. vedrørende produksjon",
NO-SAFT: Income Statement RF-1167,118,6300,Leie lokale,
NO-SAFT: Income Statement RF-1167,119,6340,"Lys, varme",
NO-SAFT: Income Statement RF-1167,120,6395,"Renovasjon, vann, avløp, renhold mv.",
NO-SAFT: Income Statement RF-1167,121,6400,"Leie maskiner, inventar, transportmidler o.l.",
NO-SAFT: Income Statement RF-1167,122,6500,"Verktøy, inventar mv. som ikke skal aktiveres",
NO-SAFT: Income Statement RF-1167,123,6600,Reparasjon og vedlikehold bygning,
NO-SAFT: Income Statement RF-1167,124,6695,Reparasjon og annet vedlikehold,
NO-SAFT: Income Statement RF-1167,125,6700,"Fremmed tjeneste (regnskap rev.hon., rådgivning o.l.)",
NO-SAFT: Income Statement RF-1167,126,6995,"Elektronisk kommunikasjon, porto mv.",
NO-SAFT: Income Statement RF-1167,127,7000,Drivstoff transportmidler,
NO-SAFT: Income Statement RF-1167,128,7020,Vedlikehold mv. transportmidler,
NO-SAFT: Income Statement RF-1167,129,7040,Forsikring og avgifter på transportmidler,
NO-SAFT: Income Statement RF-1167,130,7080,"Bilkostnader, bruk av privat bil i næring",
NO-SAFT: Income Statement RF-1167,131,7099,Privat bruk av næringsbil,
NO-SAFT: Income Statement RF-1167,132,7155,"Reise-, diett- og bilgodtgjørelse (opplysningspliktig)",
NO-SAFT: Income Statement RF-1167,133,7165,Reise- og diettkostnader (ikke opplysningspliktig),
NO-SAFT: Income Statement RF-1167,134,7295,Provisjonskostnad,
NO-SAFT: Income Statement RF-1167,135,7330,Salgs- og reklamekostnader,
NO-SAFT: Income Statement RF-1167,136,7370,Representasjonskostnader,
NO-SAFT: Income Statement RF-1167,137,7490,Kontingenter,
NO-SAFT: Income Statement RF-1167,138,7500,Forsikringspremie,
NO-SAFT: Income Statement RF-1167,139,7565,Garanti- og servicekostnad,
NO-SAFT: Income Statement RF-1167,140,7600,"Lisens, patentkostnad og royalty",
NO-SAFT: Income Statement RF-1167,141,7700,Annen kostnad,
NO-SAFT: Income Statement RF-1167,142,7830,Tap på fordringer,
NO-SAFT: Income Statement RF-1167,143,7880,Tap ved avgang av immatr. eiendeler og varige driftsmidler,
NO-SAFT: Income Statement RF-1167,144,7885,Tap ved avgang av finansielle anleggsmidler,
NO-SAFT: Income Statement RF-1167,145,8005,"Netto positiv resultatandel vedr. invest. i DS,TS og FKV",
NO-SAFT: Income Statement RF-1167,153,8006,"Netto neg. resultatandel vedr. investering i DS, TS og FKV",
NO-SAFT: Income Statement RF-1167,146,8030,Renteinntekt fra foretak i samme konsern,
NO-SAFT: Income Statement RF-1167,147,8050,Annen renteinntekt,
NO-SAFT: Income Statement RF-1167,148,8060,Valutagevinst (agio),
NO-SAFT: Income Statement RF-1167,149,8074,"Gevinst v/realisasjon av aksjer, egenkap.bevis og fondsandeler",
NO-SAFT: Income Statement RF-1167,150,8079,Annen finansinntekt,
NO-SAFT: Income Statement RF-1167,151,8080,Verdiøkn. av finans. instrumenter vurd. til virkelig verdi,
NO-SAFT: Income Statement RF-1167,152,8090,Inntekt av andre investeringer/utbytte,
NO-SAFT: Income Statement RF-1167,154,8100,Verdired. av finans. instrumenter vurd. til virkelig verdi,
NO-SAFT: Income Statement RF-1167,155,8115,Nedskrivning av finansielle eiendeler,
NO-SAFT: Income Statement RF-1167,156,8130,Rentekostnad til foretak i samme konsern,
NO-SAFT: Income Statement RF-1167,157,8150,Annen rentekostnad,
NO-SAFT: Income Statement RF-1167,158,8160,Valutatap (disagio),
NO-SAFT: Income Statement RF-1167,159,8174,"Tap ved realisasjon av aksjer,egenkap.bevis og fondsandeler",
NO-SAFT: Income Statement RF-1167,160,8179,Annen finanskostnad,
NO-SAFT: Income Statement RF-1167,161,8300,Betalbar skatt,
NO-SAFT: Income Statement RF-1167,162,8320,Endring utsatt skatt/skattefordel,
NO-SAFT: Income Statement RF-1167,163,8400,Ekstraordinær inntekt,
NO-SAFT: Income Statement RF-1167,164,8500,Ekstraordinær kostnad,
NO-SAFT: Income Statement RF-1167,165,8600,Betalbar skatt,
NO-SAFT: Income Statement RF-1167,166,8620,Endring utsatt skatt/skattefordel,
NO-SAFT: Income Statement RF-1167,167,8910,Andre resultatkomponenter for IFRS-foretak,
NO-SAFT: Income Statement RF-1167,168,9200,Årsresultat/Totalresultat,
